amt,user_id,latitudinal_distance,longitudinal_distance,is_fraud
317.4361993840268,2,0.536212271836864,0.09226512713335708,1
320.597161467696,6,0.8251584051601853,0.7097125622078847,1
1063.2392950351225,9,0.23976181883231623,0.7529843058262814,1
13.862981624462941,1,0.3015308535355132,0.5208459693504958,1
1047.7827954742882,3,0.5753693743423214,0.1649991337447183,1
14.388345807493758,4,0.3698526195736892,0.5131161004586173,1
8.500039549054625,2,0.7251142848006797,0.5187512164373878,1
5.987384020623424,6,0.7466795244525444,0.47965347623679155,1
926.328568733472,2,0.6931407085528133,0.4416823622703919,1
318.6598505012076,2,0.8126996298095432,0.511283500402537,1
333.06351085289367,7,0.40684919733453084,0.8897877103215515,1
1033.0585977358649,3,0.6756166595072959,0.3067927164014848,1
19.041535712121835,0,0.012842475772273265,0.23209148751838746,1
1207.5211312604815,2,0.35443072192748815,0.6251222846328086,1
933.9170411327881,1,0.805477120638529,0.37044370184672665,1
924.3661923376783,2,0.6927028611630843,0.48994162389843626,1
295.0884144724396,8,0.3089412187686896,0.7409961234536919,1
1077.175914427336,6,0.7755401965584516,0.5777132132890971,1
301.89770079741606,6,0.06020577621351374,0.49600220732817973,1
955.7533052026375,8,0.786827560418871,0.5689506042604803,1
979.2826514778035,8,0.4094716949392071,0.46122825109274496,1
763.5429636082675,3,0.3594698355695052,0.4920753993692726,1
16.782745538909506,5,0.12862691697314,0.26398035688723953,1
931.228763084461,1,0.5371605443877541,0.0803745241311753,1
864.413271462565,1,0.565741568761089,0.4239516685509175,1
900.8155612689566,8,0.39678654104322136,0.44434931607390005,1
308.93067556878964,3,0.4005625748407403,0.8287171335889522,1
757.0457488057691,4,0.3160112317824161,0.4860230535250246,1
17.118500364470925,4,0.05471762993975521,0.2387132408165069,1
1055.5862442454943,3,0.9540236337675585,0.5113210328167386,1
8.027768550799081,2,0.7134545941210106,0.7350383964231142,1
1036.9199933875987,1,0.8281170996531223,0.47744558333907966,1
984.0765625691735,8,0.7138042529868507,0.5285584630501883,1
762.4458445167655,6,0.6814553113330408,0.381016092370232,1
328.8481748477188,6,0.7365507476632195,0.5277952457524558,1
19.19794257498573,0,0.42620448839996683,0.41930695472622004,1
6.368164495203998,1,0.7574473678238357,0.2046262274249148,1
21.359173472808077,0,0.7237992293867304,0.7061127832145137,1
1073.6321316817355,5,0.7361080358369378,0.4814710797302728,1
848.0730544329808,2,0.6426428389727861,0.2908742139096342,1
939.2746780769102,5,0.6479645612933574,0.19082280646678695,1
605.4875018085052,3,0.5687569789931677,0.694174223858431,1
9.660017635819898,2,0.6412197360615004,0.47005981142181585,1
944.9340930403911,7,0.6838145267037969,0.31051104471975904,1
982.8972729366582,5,0.5428093143256845,0.3130329663129064,1
7.392697090825081,1,0.6361299833924521,0.3123047050733234,1
870.1235813001665,1,0.7523784038468205,0.5616674989853958,1
8.149929383242489,0,0.6797653334185125,0.8250892511841776,1
20.905658657380926,1,0.706780447539691,0.5050106603037188,1
979.8106876007384,8,0.4429930892603572,0.46864448877441534,1
1093.6136648539289,9,0.08952694811082923,0.7263719686161063,1
1081.2236756253783,8,0.02642731650752554,0.16484315815950065,1
319.855639458058,6,0.3597125031362392,0.856175454963619,1
338.5666925798438,9,0.46039830028569867,0.31100257372539775,1
955.1327421863654,8,0.7545216832237335,0.4405029139099434,1
304.8488652307985,8,0.5056682359088427,0.4260520307335492,1
19.20914315480782,0,0.28043694242966444,0.353863566908598,1
645.2268491634256,2,0.38491488900723236,0.5366127197441051,1
1050.9674350510654,2,0.9694856080532908,0.5150560316984566,1
932.5922159326651,1,0.7529587347085206,0.2579071664925709,1
672.8483420827841,5,0.35555747003591875,0.36764393568214726,1
904.3760974754638,3,0.5971524233499628,0.7683420106136194,1
1074.5457053843545,5,0.487061776183973,0.40690493901128255,1
62.224616713925926,6,0.4850226754060313,0.18064262290193933,1
317.5873920582962,4,0.37884094943678953,0.46962464603930654,1
7.80659578531442,8,0.8520621532222908,0.256502774221673,1
862.7466216887624,1,0.5735627814065507,0.41039114878432575,1
1040.7356902431643,1,0.7212244587127363,0.16273367722283566,1
357.0204071703358,5,0.842950710789567,0.2456333884650882,1
299.9853077188654,7,0.13709914266375545,0.6255679016783283,1
755.8861240367293,4,0.2904347643332841,0.5726565223614484,1
319.810634030123,4,0.9167101988936829,0.7342522182601624,1
941.8902699283416,1,0.11433915370597864,0.5380395960071187,1
35.08563264833353,0,0.7733773934364747,0.6933556603355812,1
318.921757265984,8,0.19753010131546678,0.9309560683503998,1
308.57026059678986,2,0.32315804117443075,0.7544562618645521,1
1053.8418135900497,2,0.9146706851242099,0.5270138505141151,1
7.114359701578164,9,0.7119817509478328,0.39950609755792726,1
19.15430649364083,0,0.9195323530669934,0.640472471447523,1
1034.7114463311868,2,0.7557162452805938,0.4015136551334006,1
981.8308458484643,9,0.764199716115249,0.5420964994663701,1
302.5490424441404,6,0.35544843553351024,0.12058520497036196,1
319.26606865387345,7,0.4625298572327271,0.45601839969916735,1
731.1758541806349,7,0.5442033799200865,0.2954277487986602,1
984.5961122175416,3,0.34701531880076136,0.6850991690786131,1
883.5086126732245,3,0.47220985568539275,0.49653841498668627,1
23.80439147645783,1,0.5056474271003308,0.7785104143029672,1
627.2814988031945,7,0.5701403239673375,0.45964024727424907,1
19.382321710268105,0,0.12040138640794451,0.3050627864506334,1
324.5832961512723,4,0.8406955858265684,0.6268804156649539,1
981.3903009939314,5,0.3293430519007825,0.5706944938840133,1
863.696123481879,1,0.7206728770110732,0.48291921891774664,1
298.4342515952429,6,0.17816710124636567,0.4299052357576982,1
304.60830060858564,8,0.41178120973968246,0.7197413403516694,1
751.6835925769117,9,0.6981101812560078,0.5684023285758746,1
11.964310075566864,0,0.34136122646304345,0.9333744085122528,1
290.12218948735847,3,0.7054126566891272,0.4012459739844428,1
1066.1855547193506,8,0.32634375749561173,0.6641759744545012,1
905.5305273681241,4,0.5457624664668947,0.744982939303134,1
5.563526932431111,8,0.8055254550296911,0.6287963597624713,1
304.7768268182237,8,0.4775532443345246,0.5139989260852414,1
903.5568671852621,6,0.42860196733232786,0.5586628826242943,1
292.352936529679,3,0.7239531664076225,0.37093371206372827,1
753.8948143237221,9,0.8084850771949816,0.3640272529137051,1
708.4288907618698,2,0.103463777347577,0.7523806944060336,1
20.196748594222946,0,0.8801888539818389,0.7712156234344019,1
20.09902930837121,0,0.7680082793892179,0.4772158183073469,1
9.932562586306414,0,0.5282319199272683,0.09832799015148219,1
599.0799859983904,1,0.5503414644078846,0.7486083184414001,1
764.2888749423576,3,0.29824785052258684,0.47708350249533266,1
735.2106890564979,5,0.21941250958027497,0.744271102310145,1
21.315310272386427,2,0.5718073901202211,0.2669468485678852,1
710.3099478326199,4,0.20332535960876988,0.2532886523454837,1
1042.8829062488394,2,0.6731804793527122,0.06167611788240479,1
1106.2215125821008,3,0.3337635780800414,0.3984079871776091,1
20.9793454873359,0,0.16758877579029258,0.42675814570737686,1
848.5911415270976,1,0.6399912669727693,0.29521658028462305,1
1052.7316131239636,2,0.9665489419939355,0.4758740786297303,1
741.4337610464877,3,0.19787142037736782,0.42539073475861566,1
692.899689948051,4,0.24406427816362986,0.2994576249803286,1
6.983071408879182,2,0.867129942478515,0.31453857182241635,1
18.119266376201917,2,0.03164602533957258,0.23253919107951365,1
312.20533934926704,5,0.805648099405081,0.2735704644772265,1
320.36116792728404,3,0.9055587418174683,0.728733738181598,1
16.623948092207964,5,0.16045858697103993,0.2766841526233629,1
982.8450688409101,5,0.6696714580465386,0.17335567947357078,1
649.9135490572446,6,0.47169414258614345,0.33199163561305944,1
304.5198531171307,8,0.3772621193246221,0.8277209861695984,1
771.104277035645,3,0.4278270824124358,0.43907025288113727,1
916.7507123685735,1,0.72423049347328,0.37053702035462444,1
1059.8375332555304,4,0.8303582353133748,0.5554424417034408,1
325.9010463087764,5,0.667124347150708,0.610173877099218,1
728.3197808052937,7,0.504890726248899,0.2880982709955574,1
1042.856038905558,2,0.673566378863256,0.06158874440831939,1
774.5503631723329,3,0.4781071145916547,0.4130067384560562,1
303.41536037704486,7,0.29771767862726706,0.7118506477712223,1
5.378571103013388,6,0.8716532588847288,0.5251935392031997,1
316.90521696945973,5,0.2680807222500572,0.26201220124265384,1
274.97619437442097,4,0.4416044685369985,0.7436905663917371,1
304.28980989999855,8,0.3201150727416633,0.8925886808062657,1
8.844646338426116,2,0.7527679160465403,0.2873115949335706,1
318.85257041471885,4,0.7011686648452211,0.8190197469993707,1
1090.3987531882926,4,0.9143472759343132,0.5531562749699956,1
921.7604853212215,1,0.6806263331465383,0.23015672002212872,1
902.0715210124266,7,0.385,0.46990525777889164,1
305.6163380773287,7,0.3380296881537319,0.9157623796568312,1
757.381515484867,3,0.21663875406711067,0.5288462260292873,1
307.53653122977863,1,0.22389508784133186,0.15991551975589519,1
318.8475985088055,7,0.22332740832551404,0.6801809820570253,1
22.019001933400038,9,0.6796964962126638,0.27676964962126643,1
7.201984617188582,0,0.6127713371830688,0.10872588639150044,1
290.1688681843303,3,0.7058006194739851,0.4006116856218973,1
301.7588329166954,6,0.21401017398194888,0.38979703779370856,1
956.7354986806956,8,0.7804101169056452,0.5755023053041098,1
753.1647709528736,9,0.8390961183837676,0.3596555730513755,1
318.59578809818447,5,0.5687495486716082,0.8542643786805605,1
12.031344368787066,0,0.3393772518654949,0.9218312835810614,1
900.2911995804934,2,0.7789934585041287,0.8509970265927858,1
344.4939347664258,7,0.5547936790874543,0.4998425919575288,1
1057.129650658939,5,0.6514994684958898,0.6397632481078003,1
1060.530212328381,8,0.2597508004550524,0.7685559861991654,1
751.9711197996103,9,0.801820059166222,0.3774990459776793,1
308.63008415239034,2,0.32542912060000284,0.7231596795365461,1
739.049263952259,6,0.39828853955133614,0.5706633422123324,1
20.705505792101892,0,0.7734980692993696,0.6233232428908821,1
768.6707287388325,3,0.368185357403096,0.4507224422096023,1
734.004473342399,4,0.24074677117191196,0.6460761497313503,1
13.674839514616178,1,0.33586678858254776,0.40278679542165075,1
988.3377802191916,3,0.824175525284699,0.17119350557099458,1
1049.042689460467,1,0.7330534085320781,0.5374777058253873,1
14.48402336987651,4,0.38994490767406703,0.49598981679210474,1
949.6567432740428,7,0.6894704253344839,0.2711438432630234,1
885.0244267752506,1,0.6457261386899492,0.6672043410786526,1
914.6539819983725,1,0.7424800564950673,0.4292901099391555,1
1068.1917113671666,5,0.6021642845717325,0.6073377716276825,1
326.49934073897225,9,0.5577881517354828,0.7654959633312579,1
988.3189757026869,1,0.47931844914452953,0.6482678941252492,1
964.9385608462593,7,0.800994071087558,0.4578005756447371,1
16.75277266474324,4,0.08111859826384754,0.2792861575050471,1
756.3650744332743,4,0.2667990611704456,0.5586247724626656,1
1033.301045837964,3,0.6873660675321005,0.32068685763716653,1
12.85468823872732,0,0.43776213565529654,0.08720069048166748,1
276.71822864543196,4,0.4210035272416256,0.7519192709884724,1
1084.549449126081,8,0.009368373922202055,0.1561645106040971,1
7.274326324878205,9,0.7029198119151443,0.3757238256364584,1
1031.3869826889215,6,0.5194681793440828,0.10391330223782491,1
935.6151085008053,2,0.7837606012359087,0.3452804372624791,1
907.3976598528105,4,0.3853799610149638,0.626954266587135,1
1050.1783463820805,2,0.6644817583037679,0.3313954290685395,1
337.3877404221349,8,0.34942615969303464,0.7748634780059422,1
956.0113173155397,9,0.7918380235917911,0.5688432486372171,1
323.44908786582613,9,0.6842901557549789,0.6507379370877625,1
1064.8162556714617,4,0.7410955246522557,0.4766146890402355,1
1035.2181986523342,5,0.5211531181300069,0.1829411512851663,1
17.966689784205506,5,0.1545858319829062,0.24027201628585146,1
297.3968879025333,4,0.31271167498615104,0.2482603729455739,1
285.3852018348548,7,0.3185096734437608,0.7928587423354949,1
958.1943958895172,8,0.7403739370587543,0.5551047863719214,1
920.4549373307849,3,0.5408082722549193,0.12899081498695547,1
298.36440786394513,4,0.5451649571175473,0.4153024512671239,1
293.00951096974165,7,0.35770091384276687,0.707810254311559,1
932.5853390090755,1,0.7526140436981326,0.2572955089153136,1
1038.6738927095969,1,0.789162468788998,0.3967135222728509,1
764.0143074503325,3,0.2938655578321928,0.4787352897401735,1
619.0574811130224,7,0.599355306880915,0.5721179314915226,1
682.1695813904889,4,0.2814282944332073,0.5574672852624,1
5.393875728625193,6,0.862361164763276,0.5410994179640394,1
310.59828264234665,2,0.5520995153339672,0.320200089133983,1
980.531935127074,8,0.48878015132547975,0.4787743697622743,1
1074.2825670527786,6,0.3227462258736695,0.21711222206442465,1
325.13627552628066,9,0.592888943073237,0.7373780880421285,1
633.4443326457713,7,0.5482474861606705,0.37535282171858125,1
307.52714007095943,1,0.22322429078281403,0.15888352428125235,1
312.453491942115,5,0.8447996354269554,0.266370181990445,1
298.7400768719258,6,0.17570407888381936,0.3962952431021182,1
280.6968606935861,1,0.6599486098089792,0.5050639891123216,1
898.2940710889569,1,0.8639547349230353,0.8874338147499775,1
1080.9606274040598,7,0.300239043389881,0.21107188983771508,1
953.8389750944905,7,0.7100509639651725,0.2826676062146731,1
984.526114256768,5,0.7109548059336516,0.17007177680073227,1
20.53709595321626,0,0.8585641420885668,0.7978019283845981,1
308.47755244251954,3,0.3409411108578344,0.8908151814603787,1
321.34520488562987,8,0.7380861513126831,0.6863736075683481,1
980.1210070353064,6,0.41791365564237815,0.3803217126577885,1
901.4704208636779,8,0.4043868008470046,0.47165722629912127,1
306.95925268447684,1,0.19053025055117176,0.2453354982257375,1
298.924763470167,4,0.47326848357348666,0.4498735429052191,1
17.17625026590324,5,0.08999204344251112,0.24732753260896218,1
295.6285854152881,5,0.361399237521516,0.5412129668687095,1
955.63853543564,8,0.7812636557092673,0.5688974701090925,1
978.2614555731125,8,0.3446429661582595,0.44688561198191584,1
302.4489075427775,7,0.02110287968092428,0.6672953128086441,1
630.8856440714743,7,0.5573369659983152,0.4103473190935132,1
732.0689797094892,4,0.14479347075123403,0.7449594698270181,1
1110.355611807008,4,0.8193876051825499,0.551933784992219,1
746.9486556047768,8,0.6449755135611164,0.45257810373992846,1
13.886061247329476,1,0.2973188223623706,0.5353284326992462,1
1068.4881412605632,5,0.5940673170917263,0.6091791648696818,1
1078.885228876269,6,0.6642690343703066,0.6015063022250727,1
987.5012738632452,2,0.4320859701919791,0.762994617767994,1
10.576242306116583,0,0.5602208511921039,0.4583460751961545,1
19.334273161824,0,0.08526079546958565,0.2820157708410028,1
12.735205989845461,0,0.4414613377316058,0.08765567255522423,1
11.263589961870181,0,0.4151605817641342,0.8570329942707555,1
304.44126399294396,8,0.3495585528349332,0.911301590117559,1
302.37338907311954,7,0.014151927541172893,0.671805975377167,1
306.856244526372,1,0.1753031804551415,0.0851587391617562,1
1074.6206292035633,5,0.9418814784383891,0.5421444923764721,1
852.8955251020656,1,0.6197917626878088,0.3302387423902021,1
1053.864936591907,2,0.8562851054345604,0.533565367707013,1
332.2345439010376,8,0.27824722517790207,0.9543906108583017,1
308.998978009638,1,0.3283555721170013,0.32062395710307895,1
14.166667232390308,2,0.3233001188019645,0.552796565402135,1
827.5483179723603,0,0.29888480036187826,0.8895380996537798,1
1157.0419312527804,3,0.48333129252664253,0.5933978760056878,1
8.489135860219594,4,0.7926316812271257,0.26309259475823477,1
780.5506142867548,3,0.7929574444798959,0.34497011544572365,1
33.13253885195978,0,0.21435776343417712,0.20655744523824354,1
745.3017061654691,7,0.593543581660331,0.47719777394334945,1
1078.2732142099237,7,0.19170610737357646,0.15846120128414107,1
948.1877249206722,7,0.6835183682130681,0.26797785543248304,1
310.56715513728716,4,0.6158888338535773,0.6044465530478895,1
312.9157955533831,6,0.9177382103653652,0.2529561911971742,1
987.4549511729144,2,0.43776841201825534,0.7591248029546566,1
319.2749260146115,8,0.20357975117621485,0.9221268496347135,1
740.431965748134,6,0.3434235510731187,0.7431270890122406,1
296.04929148689865,5,0.3397397409564047,0.5493586853175481,1
303.5666304179887,3,0.15853978151371134,0.12115756307130529,1
644.5773714952426,6,0.48910213416525444,0.4004950665586846,1
331.05978654096106,6,0.4689693216904838,0.8419910231604548,1
1076.1908548643687,10,0.11597424601130013,0.7641180399036664,1
751.0642593439353,9,0.6483136475383189,0.6376534220614061,1
309.04030697031175,3,0.4149877592515461,0.8136927492103129,1
321.6970743274871,4,0.8213997671910951,0.7027664709176985,1
909.6571447941003,4,0.4223166702479459,0.6054364319431025,1
1146.3357552876028,4,0.4393910173487442,0.6709479576477237,1
872.6846541246222,1,0.5269258297325297,0.4912508995284918,1
1121.9224022777576,3,0.29106589574086716,0.38743687036301644,1
1151.3376439621923,3,0.42434905810864687,0.5477186998939249,1
1044.755373650314,2,0.7561119856678584,0.16429161748886134,1
322.3738419514932,5,0.5854823818580136,0.7289628117607732,1
304.92497457789835,7,0.6052395147745779,0.042094589837287616,1
1073.676065571696,5,0.5314935159000566,0.4374620834256895,1
1075.3039734238628,5,0.8973978519092051,0.5516564167726061,1
333.6670196147158,8,0.2855354117284148,0.9602905713991929,1
1076.7613541143298,10,0.11304477085220382,0.7625998447482224,1
981.3349042604478,8,0.5397551581070777,0.49005202612988447,1
1051.3665124621468,2,0.973067660764955,0.5154693454728795,1
319.63761350516023,5,0.6485629271738118,0.814266201277773,1
337.5660039227871,8,0.35946429856471135,0.7348263034258065,1
987.1981958323969,3,0.7765761581165396,0.16485189651345708,1
129.3413360149397,0,0.1388102967186385,0.01779227601487125,1
988.5677301891695,1,0.5803612007334794,0.5058394403604332,1
18.808871603527045,10,0.8085607973750839,0.4514698925640954,1
22.588759041750624,8,0.6406350451493558,0.39430654974991686,1
265.3909625927773,0,0.7872920896907454,0.4410457951030996,1
906.506043148019,5,0.385,0.6024716602450134,1
7.60579285640389,1,0.6532284433758039,0.15520416177795004,1
20.611251357813398,0,0.8049162140622006,0.6790380862703024,1
319.46002892804574,3,0.8605368985866567,0.7702928774208531,1
14.579033359774686,3,0.3880778824832784,0.5775751046525054,1
13.611322823580293,1,0.3474585846965965,0.3629300717966339,1
966.5449767335826,8,0.555697629930385,0.5053989480143893,1
716.7268514329241,6,0.3453189094372803,0.2583475932849167,1
597.265132737946,0,0.5366264133638365,0.7571736783528312,1
321.0723175134151,9,0.48035207148895975,0.7698169528667753,1
1074.525572024345,5,0.48809043218446535,0.4076123790116212,1
321.7215976844951,4,0.8198548531313388,0.702289787397402,1
294.3955942556431,9,0.23709686992713774,0.8118898177724905,1
755.3975742278012,3,0.19542449049746474,0.502604966524446,1
754.6175889263644,8,0.6955193554518381,0.3920111627072194,1
319.1880849872986,8,0.2020921965416892,0.9242978753175347,1
1080.6656612537174,7,0.5483683117386138,0.6262893290856794,1
306.93937960168995,1,0.18124140012070933,0.09429446172416822,1
11.780273974906608,0,0.49884345557604987,0.2855016852428991,1
129.67395704268887,0,0.13772867383549123,0.018895282142949978,1
318.9099517872141,3,0.849330319670067,0.6641184177393898,1
315.92200423508854,3,0.6838967132981636,0.14287507978359548,1
845.0599108753959,0,0.3411416288853763,0.7978687593895095,1
751.7423327811363,7,0.4949265463475737,0.6940566568026494,1
1048.3398116574297,1,0.7389575820775908,0.5353891546392195,1
7.648232432933772,1,0.6566383284264707,0.15932546169530276,1
318.2963327579891,2,0.7332030728329704,0.3901109193297009,1
21.418663588777072,9,0.6728881792083329,0.2905182426185419,1
13.024349416092743,0,0.4198517155856081,0.17624224988939075,1
301.7195266335662,7,0.04781517183271733,0.6591458791810675,1
319.7785744792436,3,0.9580229464781834,0.7385076616290409,1
301.18424135624525,5,0.18497496215069084,0.27808788069555257,1
20.204726152518454,0,0.7218717539181574,0.6995381375639363,1
1072.5808532105918,4,0.5619732033735395,0.44741853975692053,1
688.3570246966067,4,0.24724647556471097,0.5833039335087048,1
1083.1285712742076,7,0.0896084183588376,0.11393950271441855,1
930.4818200419552,1,0.6471796777785875,0.07020119292082692,1
1053.8067489940777,1,0.6930353084497488,0.5516337684395447,1
299.9680867005146,7,0.1379857440536224,0.6252344680144158,1
772.5356884721219,3,0.48556468234612016,0.4130082805213623,1
778.9703769954658,3,0.7100378761191368,0.36288836699954286,1
318.0258030723662,2,0.674041782997256,0.29993435745540187,1
985.8500694967344,7,0.7761550454691956,0.44949051269756396,1
1084.376001269014,8,0.007282090735783062,0.12924736674794618,1
1136.954944479257,3,0.27563218792825506,0.4325439498900888,1
7.00872195457777,8,0.8355087542443521,0.38892996604518343,1
1045.552957094414,3,0.6300318728472436,0.07079282872076248,1
985.4686886418104,4,0.7341026792035308,0.16823046869971914,1
827.116404669409,0,0.30453972904508464,0.8841278553847508,1
721.7785417370943,3,0.07769179392232914,0.609455918162342,1
902.79733681586,3,0.6260463568979642,0.7585667766530639,1
14.183203931389135,3,0.32677282559171833,0.5498364962813448,1
1117.4886710823728,8,0.10442060353990057,0.706680562724552,1
1032.118293917751,6,0.4958421880803404,0.05666759874529898,1
321.21834586291766,8,0.7528525415563846,0.6903316090769691,1
760.094351866334,3,0.2593073452848698,0.49823451756158993,1
1065.6291727486728,4,0.7223422546800079,0.47355798864828325,1
740.0973413300914,3,0.10028546350179929,0.6496462784943936,1
321.7669950831322,7,0.4504666552617718,0.7879802678932434,1
936.3911144493107,2,0.7701804971370617,0.3354039979178631,1
308.09506653232273,2,0.29653954301678553,0.8407773033085684,1
988.570856669838,3,0.8161850176711802,0.21306348937959166,1
306.3820641256219,1,0.14863039285430682,0.09064147287781872,1
1061.436012314972,9,0.20589911180984397,0.7977185984256151,1
301.3334237737483,5,0.22764566907041245,0.1607440360458152,1
311.5002704597612,5,0.7386671657580568,0.4765681981258393,1
1076.5997338044356,5,0.7239297842945281,0.406457024644399,1
985.8324690778808,2,0.35383082567110297,0.7292206082918771,1
18.17895199728398,4,0.1779719784021625,0.2410423709928433,1
8.837042002096949,8,0.6714503358877797,0.13063727530858166,1
988.585942149489,1,0.5877588023145642,0.4954118843191219,1
20.653254922911874,0,0.8462844795778878,0.7976209014188387,1
1094.9860965968824,4,0.4048995331239362,0.41405789728726594,1
5.551156273379151,9,0.8005355621729364,0.6319078838247486,1
602.6266773272035,2,0.5605348291737042,0.7184779314130215,1
302.04767745788826,9,0.3149043414629765,0.8942164081069452,1
907.2849949126646,5,0.42800291673898627,0.6695028149922775,1
7.55618613867057,7,0.8693374213232459,0.25493149103528173,1
8.458947950850483,5,0.7957762551197414,0.2619605481568931,1
19.80472967715474,0,0.8156437545814654,0.5285471493334757,1
317.7952758290105,6,0.18102978929875402,0.9330232706627893,1
978.1571494056848,8,0.46900229198967147,0.27582305935973983,1
318.970778548589,3,0.8650206150070512,0.6752090922515595,1
19.97903779137516,0,0.888548948811194,0.7438711465967198,1
764.177914464096,3,0.29647684227532034,0.4777510363731485,1
890.4356292378583,0,0.8211065084885728,0.9031795663406558,1
1034.9761487442654,2,0.7685441314528605,0.4166831395752081,1
971.4745696663708,8,0.44667778622449167,0.476056132938269,1
305.525779801167,6,0.5130701917810079,0.0397223324663224,1
294.9059753562654,9,0.25756040645841216,0.7898637438574883,1
21.358804363811778,10,0.7182506787816662,0.3170671866574209,1
291.93907946281746,3,0.720513457276715,0.3765573634999738,1
1053.6944063431295,2,0.6902719291672088,0.5381466321571245,1
291.1122946884538,5,0.5227789852928985,0.5653502417308729,1
1032.3520486456594,5,0.5230803348196327,0.05466286611124016,1
322.00317580305125,6,0.4818060200202632,0.7724727975469091,1
945.9604000271027,3,0.31207891665781995,0.5644168518643994,1
941.1097405450333,5,0.6876045404619163,0.27534875669957554,1
13.472415367924901,0,0.3728091953537056,0.2757656433728752,1
301.387524469119,4,0.15964592666542182,0.16724694439257592,1
782.0608083685211,3,0.8722016453928455,0.3278460812254541,1
857.5423131304858,1,0.6903172053358632,0.4075236278870421,1
740.5441279015935,3,0.15155131657136223,0.6532982698926553,1
1056.2664921733679,7,0.33902633932689413,0.5572964163553594,1
307.9015483953698,3,0.4478024032913057,0.24608897396741308,1
316.47601768216504,5,0.2518087211327438,0.23224828959159843,1
1129.8000540723342,7,0.12565822187072792,0.6960157846882924,1
934.3096452270764,1,0.8066062085261629,0.36189542438266403,1
1061.1712763604678,3,0.9946321201219156,0.5227824384150965,1
974.0322801356419,4,0.5514347005039322,0.7039650389191554,1
1099.7394927335092,4,0.37480386293907,0.4074368498465954,1
621.121730561376,7,0.592022271540405,0.543885745430559,1
302.1160339111321,7,0.0421645662906632,0.5527688168943463,1
14.71641983000985,5,0.4387481643020683,0.454390850428237,1
308.4071586844184,2,0.31696620931588443,0.839782725281105,1
975.0350478737926,8,0.36793644125266467,0.4548628102750443,1
14.831407166314579,2,0.21981717018166647,0.49243764248697663,1
1076.452313360053,4,0.9814195472040601,0.5325082348203878,1
7.462403998764053,2,0.8382386630881941,0.30495192002471894,1
14.235525511819652,0,0.5155189568973738,0.18472565259764728,1
307.1667020570554,4,0.42355043563060873,0.6096725411250608,1
263.5198427843257,0,0.6666432788873264,0.5855147374970044,1
954.9430581627033,8,0.7829206817319834,0.5473066670390137,1
15.374532790526446,5,0.526633338890492,0.5639584477297275,1
19.153672071446323,7,0.3089176060440349,0.2511065402058995,1
719.9864675928641,8,0.5661679136604841,0.6412714339434984,1
317.36520559155286,2,0.5263365419896493,0.09220046448986703,1
299.9908354442968,9,0.28485582644960383,0.8781341042969711,1
316.6087796632519,5,0.23487846143703078,0.27041079655450234,1
939.9266579126803,3,0.7830224315364319,0.34199954713709885,1
906.8283550164126,4,0.4130869047932962,0.6432137400963688,1
302.0691943052156,7,0.06982201880538408,0.6438689367963544,1
923.0419618832454,2,0.5692915593638295,0.21603179034642994,1
768.2177513368017,6,0.8717734213081508,0.33828569681253046,1
1041.6351834350194,2,0.7233913121192032,0.26040518308762406,1
8.754155169365257,2,0.7455062790231379,0.3480859109448148,1
7.633428943946867,1,0.6554489151494882,0.1578878974468634,1
306.957741643293,1,0.18255297452092523,0.09631226849373115,1
303.7085538177249,8,0.3891743472593775,0.8555761397490589,1
782.4356357809395,2,0.8895334299767886,0.32444638189720704,1
315.0772657796294,7,0.6436146581354452,0.5343807528765059,1
304.94106659933846,2,0.15784209817292466,0.0920874238718608,1
1048.8686496834969,2,0.6548751810525436,0.2543827014378914,1
1211.2322626867467,2,0.2661319743158722,0.6254748527244971,1
630.9626264592865,7,0.5570634939279342,0.4092944516225464,1
320.91123857326824,7,0.33691434914520946,0.8441686760958488,1
761.9562085625209,3,0.3119513812429626,0.4836911292105772,1
318.5486951375526,5,0.5444643552477382,0.8607281183751266,1
1080.680452690372,7,0.3039146607846177,0.5842065250390762,1
985.1032152474879,8,0.7651668450205115,0.5143895715976042,1
984.2874680907578,3,0.34531389566471876,0.67408469298739,1
304.5229592548821,8,0.3784743758637014,0.8239289096647916,1
983.9338434292326,5,0.589441430643769,0.28790946178494614,1
1202.1589906218153,3,0.250480224282274,0.6333346059881221,1
1053.2452808882372,3,0.9695666206488931,0.4866812105511163,1
12.51405168459542,0,0.39130359074659693,0.4924127324814389,1
895.7623334916337,7,0.4066141392035798,0.42543045342236807,1
321.7500266231005,4,0.6494070985901568,0.49051765784463686,1
289.4950836298422,3,0.7002005631504034,0.40976733326203896,1
988.6408203316543,2,0.6100500285215191,0.46399048267228116,1
757.8384399307043,8,0.8584342576393212,0.3487407169853968,1
317.810111205203,6,0.20264535766161856,0.9002149967258197,1
19.50372874173142,0,0.889334004414158,0.6511770666669499,1
900.7279544899089,8,0.3957697822040722,0.4406960779192828,1
19.375955817696166,8,0.6155892234977886,0.32804905860894845,1
1087.2875192300332,9,0.0805632628313147,0.7259590454347489,1
297.2693386201141,3,0.6730992069828837,0.29317149484629146,1
765.5106243843501,5,0.4976919356805316,0.5338781111328714,1
317.58393881106497,4,0.5072845696386685,0.42234361360760686,1
1050.5458444599774,2,0.690004289066541,0.4114449299721033,1
1068.370549983359,7,0.39055436558989565,0.5983142364377928,1
